Sl no.,STATE NAME,CONSTITUENCY,latitude,longitude,WINNER NAME,CATEGORY,SOCIAL CATEGORY,PARTY,PARTY SYMBOL,Number of voters,VOTERS TURN OUT (IN %),MARGIN
128,Gujarat,Junagadh,21.0119,70.7168,Chudasama Rajeshbhai Naranbhai,GEN,GEN,Bharatiya Janata Party,Lotus,942257,79.75,135832
129,Gujarat,Kachchh,23.3695,69.8597,Chavda Vinod Lakhamashi,SC,SC,Bharatiya Janata Party,Lotus,809615,81.27,254482
130,Gujarat,Kheda,22.2456,74.0976,Chauhan Devusinh Jesingbhai (Chauhan Devusinh),GEN,GEN,Bharatiya Janata Party,Lotus,918144,76.52,232901
131,Gujarat,Mahesana,23.5984,72.4258,Patel Jayshreeben Kanubhai,GEN,GEN,Bharatiya Janata Party,Lotus,971262,81.21,208891
132,Gujarat,Navsari,20.9349,72.9323831,C. R. Patil,GEN,GEN,Bharatiya Janata Party,Lotus,957464,82.55,558116
133,Gujarat,Panchmahal,22.9861,73.5594,Chauhan Prabhatsinh Pratapsinh,GEN,GEN,Bharatiya Janata Party,Lotus,935016,71.82,170596
134,Gujarat,Patan,23.8985,71.8571,Liladharbhai Khodaji Vaghela,GEN,GEN,Bharatiya Janata Party,Lotus,901435,74.6,138719
135,Gujarat,Porbandar,21.4914,70.1456,Radadiya Vithalbhai  Hansrajbhai,GEN,GEN,Bharatiya Janata Party,Lotus,1162168,80.19,267971
136,Gujarat,Rajkot,22.308155,70.800705,Kundariya Mohanbhai Kalyanjibhai,GEN,GEN,Bharatiya Janata Party,Lotus,1101623,67.53,246428
137,Gujarat,Sabarkantha,23.6844,73.1822,Rathod Dipsinh Shankarsinh,GEN,GEN,Bharatiya Janata Party,Lotus,1061060,82.01,84455
138,Gujarat,Surat,21.2844,72.757,Darshana Vikram Jardosh,GEN,GEN,Bharatiya Janata Party,Lotus,1209609,77.68,533190
